bolum_kodu	bolum_adi	panel_id	panel_no	panel_baslik	tablo_no	sutun_0	Kontenjan	Yerle?en	Üniversite Türü	Genel	Okul Birincisi	?ehit ve Gazi Yak?n?	34 Ya? Üstü Kad?n	Depremzede Aday	Toplam Kontenjan	Toplam Yerle?en	Taban Puan	Ortalama Puan	Tavan Puan	Taban Ba?ar? S?ras?	Ortalama Ba?ar? S?ras?	Tavan Ba?ar? S?ras?	Yerle?enlerin ?kamet Ettikleri Bölge	Yerle?en Say?s?	% Oran	Yerle?enlerin ?kamet Ettikleri ?l	Ö?renim Durumu	Tercih S?ras?	Tercih Eden Say?s?	Üniversite	Tercih Say?s?	Kontenjan Ba??na Tercih Say?s?	Program	Tercih Oran?
13987	Makine Muhendisligi	cmeslek_10	10	Üniversitelere Göre Tercih Edilme ?statistikleri	0		46																							TED ÜN?VERS?TES?	1.021	"22,2"		
13987	Makine Muhendisligi	cmeslek_10	10	Üniversitelere Göre Tercih Edilme ?statistikleri	0		52																							TEK?RDA? NAMIK KEMAL ÜN?VERS?TES?	1.436	"27,6"		
13987	Makine Muhendisligi	cmeslek_10	10	Üniversitelere Göre Tercih Edilme ?statistikleri	0		81																							TOBB EKONOM? VE TEKNOLOJ? ÜN?VERS?TES?	954	"11,8"		
13987	Makine Muhendisligi	cmeslek_10	10	Üniversitelere Göre Tercih Edilme ?statistikleri	0		16																							TOKAT GAZ?OSMANPA?A ÜN?VERS?TES?	148	"9,3"		
13987	Makine Muhendisligi	cmeslek_10	10	Üniversitelere Göre Tercih Edilme ?statistikleri	0		93																							TRAKYA ÜN?VERS?TES?	1.474	"15,8"		
13987	Makine Muhendisligi	cmeslek_10	10	Üniversitelere Göre Tercih Edilme ?statistikleri	0		29																							TÜRK HAVA KURUMU ÜN?VERS?TES?	452	"15,6"		
13987	Makine Muhendisligi	cmeslek_10	10	Üniversitelere Göre Tercih Edilme ?statistikleri	0		62																							TÜRK-ALMAN ÜN?VERS?TES?	1.069	"17,2"		
13987	Makine Muhendisligi	cmeslek_10	10	Üniversitelere Göre Tercih Edilme ?statistikleri	0		5																							ULUSLARARASI KIBRIS ÜN?VERS?TES?	10	"2,0"		
13987	Makine Muhendisligi	cmeslek_10	10	Üniversitelere Göre Tercih Edilme ?statistikleri	0		16																							ULUSLARARASI SARAYBOSNA ÜN?VERS?TES?	13	"0,8"		
13987	Makine Muhendisligi	cmeslek_10	10	Üniversitelere Göre Tercih Edilme ?statistikleri	0		41																							U?AK ÜN?VERS?TES?	1.126	"27,5"		
13987	Makine Muhendisligi	cmeslek_10	10	Üniversitelere Göre Tercih Edilme ?statistikleri	0		11																							VAN YÜZÜNCÜ YIL ÜN?VERS?TES?	85	"7,7"		
13987	Makine Muhendisligi	cmeslek_10	10	Üniversitelere Göre Tercih Edilme ?statistikleri	0		10																							YAKIN DO?U ÜN?VERS?TES?	78	"7,8"		
13987	Makine Muhendisligi	cmeslek_10	10	Üniversitelere Göre Tercih Edilme ?statistikleri	0		52																							YALOVA ÜN?VERS?TES?	1.816	"34,9"		
13987	Makine Muhendisligi	cmeslek_10	10	Üniversitelere Göre Tercih Edilme ?statistikleri	0		54																							YA?AR ÜN?VERS?TES?	535	"9,9"		
13987	Makine Muhendisligi	cmeslek_10	10	Üniversitelere Göre Tercih Edilme ?statistikleri	0		97																							YED?TEPE ÜN?VERS?TES?	891	"9,2"		
13987	Makine Muhendisligi	cmeslek_10	10	Üniversitelere Göre Tercih Edilme ?statistikleri	0		129																							YILDIZ TEKN?K ÜN?VERS?TES?	3.018	"23,4"		
13987	Makine Muhendisligi	cmeslek_10	10	Üniversitelere Göre Tercih Edilme ?statistikleri	0		11																							YOZGAT BOZOK ÜN?VERS?TES?	73	"6,6"		
13987	Makine Muhendisligi	cmeslek_10	10	Üniversitelere Göre Tercih Edilme ?statistikleri	0		52																							ZONGULDAK BÜLENT ECEV?T ÜN?VERS?TES?	1.324	"25,5"		
13987	Makine Muhendisligi	cmeslek_11	11	Üniversite Türlerine Göre Tercih Edilme ?statistikleri	0		6.955		Toplam																						141.63	"20,4"		
13987	Makine Muhendisligi	cmeslek_11	11	Üniversite Türlerine Göre Tercih Edilme ?statistikleri	0		5.347		Devlet																						124.915	"23,4"		
13987	Makine Muhendisligi	cmeslek_11	11	Üniversite Türlerine Göre Tercih Edilme ?statistikleri	0		1.54		Vak?f																						16.482	"10,7"		
13987	Makine Muhendisligi	cmeslek_11	11	Üniversite Türlerine Göre Tercih Edilme ?statistikleri	0		52		KKTC																						220	"4,2"		
13987	Makine Muhendisligi	cmeslek_11	11	Üniversite Türlerine Göre Tercih Edilme ?statistikleri	0		16		Yurt D???																						13	"0,8"		
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										90.618		Toplam	100%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										1		AC?L YARDIM VE AFET YÖNET?M?	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										1		AC?L YARDIM VE AFET YÖNET?M? (YÜKSEKOKUL)	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										1		ADL? B?L?MLER	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										6		ADL? B?L???M MÜHEND?SL???	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										2		ADL? B?L???M MÜHEND?SL??? (M.T.O.K)	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										23		AKTÜERYA B?L?MLER?	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										1		AMER?KAN KÜLTÜRÜ VE EDEB?YATI	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										9		ASTRONOM? VE UZAY B?L?MLER?	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										2		BAHÇE B?TK?LER?	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										1		BANKACILIK	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										1		BEDEN E??T?M? VE SPOR Ö?RETMENL???	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										43		BESLENME VE D?YETET?K	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										28		B?LG? GÜVENL??? TEKNOLOJ?S?	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										12		B?LG?SAYAR B?L?MLER?	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										3		B?LG?SAYAR B?L?MLER? VE MÜHEND?SL???	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										4.214		B?LG?SAYAR MÜHEND?SL???	4.70%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										67		B?LG?SAYAR MÜHEND?SL??? (M.T.O.K)	0.10%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										28		B?LG?SAYAR VE Ö?RET?M TEKNOLOJ?LER? Ö?RETMENL???	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										51		B?L???M S?STEMLER? MÜHEND?SL???	0.10%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										3		B?L???M S?STEMLER? MÜHEND?SL??? (M.T.O.K)	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										38		B?L???M S?STEMLER? VE TEKNOLOJ?LER?	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										3		B?L???M S?STEMLER? VE TEKNOLOJ?LER? (YÜKSEKOKUL)	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										18		B?TK? KORUMA	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										2		B?YOK?MYA	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										17		B?YOLOJ?	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										3		B?YOLOJ? Ö?RETMENL???	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										183		B?YOMED?KAL MÜHEND?SL???	0.20%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										1		B?YOMED?KAL MÜHEND?SL??? (M.T.O.K)	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										83		B?YOMÜHEND?SL?K	0.10%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										1		B?YOTEKNOLOJ?	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										9		CEVHER HAZIRLAMA MÜHEND?SL???	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										2		ÇALI?MA EKONOM?S? VE ENDÜSTR? ?L??K?LER?	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										3		ÇEV?R?B?L?M?	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										179		ÇEVRE MÜHEND?SL???	0.20%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										2		ÇOCUK GEL???M?	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										328		DEN?Z ULA?TIRMA ??LETME MÜHEND?SL???	0.40%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										3		DEN?Z ULA?TIRMA ??LETME MÜHEND?SL??? (YÜKSEKOKUL)	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										2		DEN?ZC?L?K ??LETMELER? YÖNET?M?	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										1		DER? MÜHEND?SL???	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										37		D?J?TAL OYUN TASARIMI	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										70		D?L VE KONU?MA TERAP?S?	0.10%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										1		D?L VE KONU?MA TERAP?S? (YÜKSEKOKUL)	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										1		D?LB?L?M?	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										1.507		D?? HEK?ML???	1.70%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										263		EBEL?K	0.30%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										2		EBEL?K (YÜKSEKOKUL)	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										612		ECZACILIK	0.70%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										2		EKONOMETR?	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										26		EKONOM?	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										5		EKONOM? VE F?NANS	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										541		ELEKTR?K MÜHEND?SL???	0.60%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										15.341		ELEKTR?K-ELEKTRON?K MÜHEND?SL???	16.90%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										102		ELEKTR?K-ELEKTRON?K MÜHEND?SL??? (M.T.O.K)	0.10%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										111		ELEKTRON?K MÜHEND?SL???	0.10%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										515		ELEKTRON?K VE HABERLE?ME MÜHEND?SL???	0.60%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										4.267		ENDÜSTR? MÜHEND?SL???	4.70%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										124		ENDÜSTR?YEL TASARIM	0.10%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										9		ENDÜSTR?YEL TASARIM (YÜKSEKOKUL)	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										26		ENDÜSTR?YEL TASARIM MÜHEND?SL???	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										10		ENDÜSTR?YEL TASARIM MÜHEND?SL??? (M.T.O.K)	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										20		ENERJ? B?L?M? VE TEKNOLOJ?LER?	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										337		ENERJ? S?STEMLER? MÜHEND?SL???	0.40%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										18		ENERJ? S?STEMLER? MÜHEND?SL??? (M.T.O.K)	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										6		ERGOTERAP?	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										24		FEN B?LG?S? Ö?RETMENL???	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										182		F?Z?K	0.20%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										144		F?Z?K MÜHEND?SL???	0.20%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										12		F?Z?K Ö?RETMENL???	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										148		F?ZYOTERAP? VE REHAB?L?TASYON	0.20%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										1		F?ZYOTERAP? VE REHAB?L?TASYON (YÜKSEKOKUL)	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										17		FOTON?K	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										1		FRANSIZ D?L? VE EDEB?YATI	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										582		GEM? ?N?AATI VE GEM? MAK?NELER? MÜHEND?SL???	0.60%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										208		GEM? MAK?NELER? ??LETME MÜHEND?SL???	0.20%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										56		GEM? VE DEN?Z TEKNOLOJ?S? MÜHEND?SL???	0.10%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										2		GEM? VE YAT TASARIMI	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										17		GENET?K VE B?YOMÜHEND?SL?K	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										1		GERONTOLOJ?	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										167		GIDA MÜHEND?SL???	0.20%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										144		HAR?TA MÜHEND?SL???	0.20%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										1		HASSAS TARIM VE TARIMSAL ROBOTLAR	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										243		HAVACILIK ELEKTR?K VE ELEKTRON???	0.30%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										32		HAVACILIK ELEKTR?K VE ELEKTRON??? (YÜKSEKOKUL)	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										1.011		HAVACILIK VE UZAY MÜHEND?SL???	1.10%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										14		HAVACILIK YÖNET?M?	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										3		HAVACILIK YÖNET?M? (YÜKSEKOKUL)	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										1.699		HEM??REL?K	1.90%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										142		HEM??REL?K (YÜKSEKOKUL)	0.20%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										8		H?DROJEOLOJ? MÜHEND?SL???	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										85		HUKUK	0.10%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										45		?Ç M?MARLIK	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										2		?Ç M?MARLIK VE ÇEVRE TASARIMI	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										25		?KL?M B?L?M? VE METEOROLOJ? MÜHEND?SL???	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										27		?KT?SAT	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										1		?KT?SAT (AÇIKÖ?RET?M)	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										3		?LAH?YAT	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										97		?LKÖ?RET?M MATEMAT?K Ö?RETMENL???	0.10%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										50		?MALAT MÜHEND?SL???	0.10%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										1		?NG?L?Z D?LB?L?M?	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										6		?NG?L?Z D?L? VE EDEB?YATI	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										10		?NG?L?ZCE MÜTERC?M VE TERCÜMANLIK	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										13		?NG?L?ZCE Ö?RETMENL???	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										1		"?NG?L?ZCE, FRANSIZCA MÜTERC?M VE TERCÜMANLIK"	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										2.258		?N?AAT MÜHEND?SL???	2.50%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										7		?N?AAT MÜHEND?SL??? (M.T.O.K)	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										1		?SLAM ?KT?SADI VE F?NANS	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										191		?STAT?ST?K	0.20%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										3		?? SA?LI?I VE GÜVENL??? (AÇIKÖ?RET?M)	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										96		??LETME	0.10%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										1		??LETME (AÇIKÖ?RET?M)	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										55		??LETME MÜHEND?SL???	0.10%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										26		JEOF?Z?K MÜHEND?SL???	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										52		JEOLOJ? MÜHEND?SL???	0.10%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										1		KAMU YÖNET?M?	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										3		KENTSEL TASARIM VE PEYZAJ M?MARLI?I	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										200		K?MYA	0.20%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										1.116		K?MYA MÜHEND?SL???	1.20%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										15		K?MYA Ö?RETMENL???	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										14		K?MYA-B?YOLOJ? MÜHEND?SL???	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										699		KONTROL VE OTOMASYON MÜHEND?SL???	0.80%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										7		LOJ?ST?K YÖNET?M?	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										127		MADEN MÜHEND?SL???	0.10%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										38.205		MAK?NE MÜHEND?SL???	42.20%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										194		MAK?NE MÜHEND?SL??? (M.T.O.K)	0.20%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										8		MAL?YE	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										138		MALZEME B?L?M? VE MÜHEND?SL???	0.20%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										68		MALZEME B?L?M? VE NANOTEKNOLOJ? MÜHEND?SL???	0.10%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										20		MALZEME B?L?M? VE TEKNOLOJ?LER?	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										334		MATEMAT?K	0.40%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										213		MATEMAT?K MÜHEND?SL???	0.20%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										43		MATEMAT?K Ö?RETMENL???	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										14		MATEMAT?K VE B?LG?SAYAR B?L?MLER?	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										1.88		MEKATRON?K MÜHEND?SL???	2.10%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										56		MEKATRON?K MÜHEND?SL??? (M.T.O.K)	0.10%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										1.619		METALURJ? VE MALZEME MÜHEND?SL???	1.80%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										33		METALURJ? VE MALZEME MÜHEND?SL??? (M.T.O.K)	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										503		M?MARLIK	0.60%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										102		MOLEKÜLER B?YOLOJ? VE GENET?K	0.10%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										11		MOLEKÜLER B?YOTEKNOLOJ?	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										1		MUHASEBE VE F?NANS YÖNET?M?	0.00%
13987	Makine Muhendisligi	cmeslek_13	13	Yerle?enlerin Tercih E?ilimleri - Programlar	0																										131		MÜHEND?SL?K VE DO?A B?L?MLER? PROGRAMLARI	0.10%
